Date,ETHEREUM_Price
2023-05-23,1854.05
2023-05-24,1799.89
2023-05-25,1805.6
2023-05-26,1827.79
2023-05-27,1829.89
2023-05-28,1908.64
2023-05-29,1892.6
2023-05-30,1900.59
2023-05-31,1873.63
2023-06-01,1861.78
2023-06-02,1906.68
2023-06-03,1892.06
2023-06-04,1890.01
2023-06-05,1810.5
2023-06-06,1884.64
2023-06-07,1832.13
2023-06-08,1845.64
2023-06-09,1840.37
2023-06-10,1751.53
2023-06-11,1752.76
2023-06-12,1742.57
2023-06-13,1740.12
2023-06-14,1650.95
2023-06-15,1666.96
2023-06-16,1717.92
2023-06-17,1727.76
2023-06-18,1720.95
2023-06-19,1737.11
2023-06-20,1791.99
2023-06-21,1889.11
2023-06-22,1872.01
2023-06-23,1892.63
2023-06-24,1874.96
2023-06-25,1898.8
2023-06-26,1858.97
2023-06-27,1889.58
2023-06-28,1828.02
2023-06-29,1851.99
2023-06-30,1933.79
2023-07-01,1924.5
2023-07-02,1937.48
2023-07-03,1955.54
2023-07-04,1936.2
2023-07-05,1910.36
2023-07-06,1846.17
2023-07-07,1870.91
2023-07-08,1865.24
2023-07-09,1862.8
2023-07-10,1880.4
2023-07-11,1878.3
2023-07-12,1871.82
2023-07-13,2004.49
2023-07-14,1937.83
2023-07-15,1931.41
2023-07-16,1922.11
2023-07-17,1911.2
2023-07-18,1897.21
2023-07-19,1888.63
2023-07-20,1891.59
2023-07-21,1891.73
2023-07-22,1866.52
2023-07-23,1888.73
2023-07-24,1850.0
2023-07-25,1857.66
2023-07-26,1872.0
2023-07-27,1861.28
2023-07-28,1874.19
2023-07-29,1880.46
2023-07-30,1861.79
2023-07-31,1856.14
2023-08-01,1873.47
2023-08-02,1839.9
2023-08-03,1835.81
2023-08-04,1830.23
2023-08-05,1836.48
2023-08-06,1830.28
2023-08-07,1829.1
2023-08-08,1856.3
2023-08-09,1855.35
2023-08-10,1852.47
2023-08-11,1848.84
2023-08-12,1849.93
2023-08-13,1840.73
2023-08-14,1845.5
2023-08-15,1828.98
2023-08-16,1807.81
2023-08-17,1681.49
2023-08-18,1661.59
2023-08-19,1669.67
2023-08-20,1685.24
2023-08-21,1667.55
2023-08-22,1634.99
2023-08-23,1679.61
2023-08-24,1661.16
2023-08-25,1653.8
2023-08-26,1647.04
2023-08-27,1658.33
2023-08-28,1653.08
2023-08-29,1729.42
2023-08-30,1705.23
2023-08-31,1645.76
2023-09-01,1629.12
2023-09-02,1637.03
2023-09-03,1635.84
2023-09-04,1630.51
2023-09-05,1634.45
2023-09-06,1633.15
2023-09-07,1648.11
2023-09-08,1636.44
2023-09-09,1635.54
2023-09-10,1617.42
2023-09-11,1551.85
2023-09-12,1592.97
2023-09-13,1607.62
2023-09-14,1626.47
2023-09-15,1641.29
2023-09-16,1634.4
2023-09-17,1622.48
2023-09-18,1636.66
2023-09-19,1643.12
2023-09-20,1622.26
2023-09-21,1583.94
2023-09-22,1593.08
2023-09-23,1593.86
2023-09-24,1580.71
2023-09-25,1588.33
2023-09-26,1594.01
2023-09-27,1598.64
2023-09-28,1652.99
2023-09-29,1667.45
2023-09-30,1670.89
2023-10-01,1733.79
2023-10-02,1662.4
2023-10-03,1656.88
2023-10-04,1646.58
2023-10-05,1611.79
2023-10-06,1645.03
2023-10-07,1633.57
2023-10-08,1632.84
2023-10-09,1580.13
2023-10-10,1567.63
2023-10-11,1566.87
2023-10-12,1539.61
2023-10-13,1552.16
2023-10-14,1554.94
2023-10-15,1557.77
2023-10-16,1599.42
2023-10-17,1565.01
2023-10-18,1563.44
2023-10-19,1566.57
2023-10-20,1603.89
2023-10-21,1628.94
2023-10-22,1663.7
2023-10-23,1765.46
2023-10-24,1784.98
2023-10-25,1787.15
2023-10-26,1803.38
2023-10-27,1779.4
2023-10-28,1776.2
2023-10-29,1795.14
2023-10-30,1809.04
2023-10-31,1814.67
2023-11-01,1846.99
2023-11-02,1800.8
2023-11-03,1832.71
2023-11-04,1855.54
2023-11-05,1891.71
2023-11-06,1900.95
2023-11-07,1885.27
2023-11-08,1888.12
2023-11-09,2121.32
2023-11-10,2077.72
2023-11-11,2053.17
2023-11-12,2044.68
2023-11-13,2053.65
2023-11-14,1979.39
2023-11-15,2058.48
2023-11-16,1961.77
2023-11-17,1960.82
